5047 5389 98
6153 4661 93
5620 6934 58
3759 6821 126
10509 5932 152
7379 6527 79
10871 2110 93
3412 4436 138
12002 4401 154
2865 7551 38
9993 2022 125
2422 6137 161
8166 7342 177
12521 5874 27
12689 3463 102
14060 4112 162
13573 4190 168
7306 4067 122
12133 6656 201
9121 3276 154
5394 7385 168
10436 2757 95
3923 6329 81
4908 6720 83
5507 2805 182
10986 5387 105
12103 4539 85
4186 7419 61
11351 3572 134
2943 5139 118
7887 5766 20
4174 5484 78
6237 2591 129
6508 7273 116
4918 3957 61
9917 5465 20
9079 3868 74
9415 4613 30
3127 7261 152
10148 2504 69
4049 6455 125
6951 2795 84
4524 6900 165
12414 5887 93
13467 5869 147
11369 4193 160
2697 5203 168
3520 4685 137
11751 1147 174
5570 4353 127
6966 4751 59
12386 2965 134
5128 4419 181
4299 6383 21
7185 3258 135
8339 5680 26
10572 2698 81
13849 4760 53
4994 4428 8
5568 6250 72
5531 4565 22
8811 6940 135
9821 4109 197
2954 6518 153
3130 4715 131
7705 2886 101
5195 7019 80
7072 4886 117
5411 4451 185
8258 3327 45
5484 6044 170
8633 5480 48
12051 6343 181
10344 2620 145
11487 4346 57
5024 7405 178
7418 5839 23
13624 5560 146
6076 2590 156
6249 7060 117
7623 7161 150
9163 874 46
6501 5420 19
3173 6272 143
8670 1240 183
8799 6666 58
9141 4933 45
10395 2235 198
12646 5288 144
8233 3324 24
9220 5639 107
8198 3441 55
2717 4863 182
12599 3632 59
4131 6467 29
11365 2885 72
12593 6478 29
3322 6473 159
6510 4716 29
6784 5036 174
11051 2212 7
8240 4685 109
8517 5830 30
11831 5432 134
7607 5228 55
10077 2725 100
9616 4960 20
10280 1865 92
3630 6466 180
4060 4810 137
6431 7094 22
8755 3589 118
4237 6936 198
9248 6019 160
9761 2873 6
9659 812 147
6342 5012 175
7082 6945 173
6872 6637 131
6481 5656 59
7501 3236 64
6189 3772 183
10801 1239 172
7932 1677 92
9791 1752 197
11378 5326 56
6916 3209 38
12402 5395 40
3254 7447 176
11793 3592 38
9922 4819 47
12910 3899 46
4166 7584 53
6023 5618 165
8805 4798 139
9275 1978 41
4208 5451 115
10794 1569 195
6256 6108 42
8733 1299 122
4547 4447 69
5814 4196 42
6492 5671 101
6463 3252 136
8806 5039 194
8355 3251 8
11443 2435 187
11205 3933 174
9463 1082 199
